YEAR,PLAYERID,NAMElast,NAMEfirst,TEAM,LG,AVG,OBP,SLG,EXP,PAYR,MLAVG,MLOBP,MLSLG,AVGcumLag1,OBPcumLag1,SLGcumLag1,G,YRINDEX
1999,claytro01,Clayton,Royce,TEX,AL,0.288,0.346,0.445,8,522,0.277,0.351,0.445,0.256,0.308,0.358,133,41
1964,clenddo01,Clendenon,Donn,PIT,NL,0.282,0.321,0.446,3,463,0.261,0.324,0.396,0.284,0.343,0.441,133,6
1995,coninje01,Conine,Jeff,FLO,NL,0.302,0.379,0.52,4,505,0.272,0.344,0.427,0.299,0.356,0.446,133,37
1997,edmonji01,Edmonds,Jim,ANA,AL,0.291,0.368,0.5,5,493,0.272,0.342,0.428,0.289,0.354,0.504,133,39
1998,erstada01,Erstad,Darin,ANA,AL,0.296,0.353,0.486,3,554,0.271,0.341,0.43,0.295,0.353,0.44,133,40
1998,evereca01,Everett,Carl,HOU,NL,0.296,0.359,0.482,5,408,0.271,0.341,0.43,0.245,0.319,0.393,133,40
1961,fernach01,Fernandez,Chico,DET,AL,0.248,0.305,0.322,3,369,0.268,0.34,0.418,0.235,0.296,0.303,133,3
1971,fossera01,Fosse,Ray,CLE,AL,0.276,0.329,0.397,3,320,0.259,0.328,0.382,0.273,0.328,0.414,133,13
1964,foxne01,Fox,Nellie,HOU,NL,0.265,0.32,0.319,6,546,0.261,0.324,0.396,0.275,0.335,0.342,133,6
1988,gaettga01,Gaetti,Gary,MIN,AL,0.301,0.353,0.551,7,515,0.259,0.324,0.387,0.255,0.309,0.437,133,30
1997,gonzaju03,Gonzalez,Juan,TEX,AL,0.296,0.335,0.589,9,447,0.272,0.342,0.428,0.283,0.334,0.552,133,39
1965,greendi01,Green,Dick,KC1,AL,0.232,0.308,0.363,2,401,0.255,0.322,0.389,0.265,0.312,0.396,133,7
2001,grudzma01,Grudzielanek,Mark,LAN,NL,0.271,0.317,0.393,7,546,0.269,0.338,0.437,0.286,0.329,0.386,133,43
1988,gwynnto01,Gwynn,Tony,SDN,NL,0.313,0.373,0.415,7,509,0.259,0.324,0.387,0.335,0.392,0.444,133,30
1963,heldwo01,Held,Woodie,CLE,AL,0.248,0.352,0.435,5,357,0.255,0.319,0.389,0.256,0.343,0.452,133,5
1976,hendeke01,Henderson,Ken,ATL,NL,0.262,0.352,0.395,12,326,0.26,0.325,0.369,0.262,0.347,0.405,133,18
1965,hintoch01,Hinton,Chuck,CLE,AL,0.255,0.336,0.448,5,402,0.255,0.322,0.389,0.28,0.347,0.428,133,7
1968,hortoto01,Horton,Tony,CLE,AL,0.249,0.302,0.411,5,342,0.246,0.31,0.356,0.271,0.31,0.401,133,10
1989,incavpe01,Incaviglia,Pete,TEX,AL,0.236,0.293,0.453,4,390,0.259,0.325,0.384,0.257,0.325,0.476,133,31
1998,johnsch04,Johnson,Charles,FLO->LAN,NL->NL,0.218,0.289,0.381,4,431,0.271,0.341,0.43,0.241,0.331,0.412,133,40
1979,johnsla02,Johnson,Lamar,CHA,AL,0.309,0.363,0.449,5,360,0.27,0.335,0.406,0.291,0.339,0.428,133,21
2000,jordabr01,Jordan,Brian,ATL,NL,0.264,0.32,0.421,9,407,0.276,0.351,0.448,0.289,0.34,0.472,133,42
1999,justida01,Justice,David,CLE,AL,0.287,0.413,0.476,11,471,0.277,0.351,0.445,0.283,0.378,0.508,133,41
1971,kalinal01,Kaline,Al,DET,AL,0.294,0.416,0.462,13,524,0.259,0.328,0.382,0.297,0.383,0.494,133,13
1975,kellypa01,Kelly,Pat,CHA,AL,0.274,0.353,0.406,7,383,0.262,0.333,0.383,0.265,0.353,0.356,133,17
1999,kleskry01,Klesko,Ryan,ATL,NL,0.297,0.376,0.532,6,507,0.277,0.351,0.445,0.278,0.358,0.524,133,41
1997,lankfra01,Lankford,Ray,SLN,NL,0.295,0.411,0.585,8,476,0.272,0.342,0.428,0.269,0.353,0.453,133,39
1985,leonaje01,Leonard,Jeffrey,SFN,NL,0.241,0.272,0.393,7,456,0.262,0.329,0.4,0.279,0.334,0.431,133,27
2001,loftoke01,Lofton,Kenny,CLE,AL,0.261,0.322,0.398,11,549,0.269,0.338,0.437,0.306,0.383,0.428,133,43
1998,lopezja01,Lopez,Javy,ATL,NL,0.284,0.328,0.54,5,455,0.271,0.341,0.43,0.288,0.335,0.486,133,40
1967,morgajo02,Morgan,Joe,HOU,NL,0.275,0.378,0.411,4,537,0.251,0.317,0.373,0.273,0.386,0.397,133,9
1978,oliveal01,Oliver,Al,TEX,AL,0.324,0.358,0.49,10,574,0.262,0.329,0.387,0.296,0.335,0.454,133,20
1979,pagemi02,Page,Mitchell,OAK,AL,0.247,0.323,0.335,3,298,0.27,0.335,0.406,0.296,0.38,0.49,133,21
1990,parrila02,Parrish,Lance,CAL,AL,0.268,0.338,0.451,13,432,0.263,0.33,0.394,0.256,0.314,0.45,133,32
1992,penato01,Pena,Tony,BOS,AL,0.241,0.284,0.305,12,412,0.261,0.328,0.386,0.269,0.317,0.379,133,34
1967,pepitjo01,Pepitone,Joe,NYA,AL,0.251,0.301,0.377,6,455,0.251,0.317,0.373,0.255,0.292,0.432,133,9
2001,reesepo01,Reese,Pokey,CIN,NL,0.224,0.284,0.343,5,388,0.269,0.338,0.437,0.257,0.314,0.368,133,43
1998,renteed01,Renteria,Edgar,FLO,NL,0.282,0.347,0.342,3,604,0.271,0.341,0.43,0.29,0.34,0.365,133,40
1971,robinfr02,Robinson,Frank,BAL,AL,0.281,0.384,0.51,13,543,0.259,0.328,0.382,0.305,0.401,0.559,133,13
1966,rodgebu01,Rodgers,Buck,CAL,AL,0.236,0.281,0.339,6,369,0.257,0.32,0.392,0.241,0.298,0.322,133,8
1995,sandere02,Sanders,Reggie,CIN,NL,0.306,0.397,0.579,4,481,0.272,0.344,0.427,0.267,0.34,0.455,133,37
1999,sandere02,Sanders,Reggie,SDN,NL,0.285,0.376,0.527,8,481,0.277,0.351,0.445,0.271,0.353,0.476,133,41
1975,sanguma01,Sanguillen,Manny,PIT,NL,0.328,0.391,0.451,8,412,0.262,0.333,0.383,0.3,0.323,0.407,133,17
1972,santoro01,Santo,Ron,CHN,NL,0.302,0.391,0.487,13,626,0.253,0.321,0.37,0.279,0.365,0.474,133,14
1989,sciosmi01,Scioscia,Mike,LAN,NL,0.25,0.338,0.363,10,385,0.259,0.325,0.384,0.263,0.35,0.352,133,31
1980,smallro02,Smalley,Roy,MIN,AL,0.278,0.359,0.405,6,500,0.269,0.332,0.396,0.256,0.343,0.373,133,22
1989,tartada01,Tartabull,Danny,KCA,AL,0.268,0.369,0.44,5,449,0.259,0.325,0.384,0.287,0.371,0.518,133,31
2002,trammbu01,Trammell,Bubba,SDN,NL,0.243,0.333,0.414,6,290,0.266,0.337,0.426,0.269,0.344,0.479,133,44
1993,wallati01,Wallach,Tim,LAN,NL,0.222,0.271,0.342,13,556,0.27,0.338,0.413,0.259,0.317,0.418,133,35
1979,watsobo01,Watson,Bob,HOU->BOS,NL->AL,0.303,0.367,0.469,12,409,0.27,0.335,0.406,0.299,0.366,0.448,133,21
1990,worthcr01,Worthington,Craig,BAL,AL,0.226,0.328,0.322,3,201,0.263,0.33,0.394,0.239,0.325,0.37,133,32
1965,yastrca01,Yastrzemski,Carl,BOS,AL,0.312,0.395,0.536,5,608,0.255,0.322,0.389,0.293,0.37,0.448,133,7
1973,alouma01,Alou,Matty,NYA->SLN,AL->NL,0.295,0.338,0.354,13,440,0.262,0.331,0.387,0.31,0.347,0.386,134,15
1967,aparilu01,Aparicio,Luis,BAL,AL,0.233,0.27,0.313,9,618,0.251,0.317,0.373,0.259,0.306,0.345,134,9
1984,baylodo01,Baylor,Don,NYA,AL,0.262,0.341,0.489,13,552,0.265,0.328,0.393,0.268,0.342,0.439,134,26
2004,berroan01,Berroa,Angel,KCA,AL,0.262,0.308,0.385,4,328,0.272,0.342,0.439,0.282,0.334,0.432,134,46
1970,boyercl02,Boyer,Clete,ATL,NL,0.246,0.305,0.381,12,470,0.264,0.337,0.404,0.242,0.299,0.374,134,12
1991,caldeiv01,Calderon,Ivan,MON,NL,0.3,0.368,0.481,7,407,0.26,0.329,0.394,0.273,0.332,0.451,134,33
1971,campabe01,Campaneris,Bert,OAK,AL,0.251,0.287,0.323,8,496,0.259,0.328,0.382,0.266,0.313,0.369,134,13
1974,campabe01,Campaneris,Bert,OAK,AL,0.29,0.347,0.366,11,496,0.261,0.329,0.377,0.26,0.306,0.354,134,16
1967,cartyri01,Carty,Rico,ATL,NL,0.255,0.329,0.401,4,451,0.251,0.317,0.373,0.323,0.382,0.504,134,9
2001,castilu01,Castillo,Luis,FLO,NL,0.263,0.344,0.341,6,488,0.269,0.338,0.437,0.289,0.37,0.342,134,43
1965,charled01,Charles,Ed,KC1,AL,0.269,0.332,0.388,4,484,0.255,0.322,0.389,0.265,0.336,0.408,134,7
1986,coopece01,Cooper,Cecil,ML4,AL,0.258,0.31,0.373,15,493,0.262,0.331,0.404,0.303,0.341,0.477,134,28
1970,davisto02,Davis,Tommy,HOU->OAK->CHN,NL->AL->NL,0.284,0.308,0.387,11,453,0.264,0.337,0.404,0.296,0.331,0.423,134,12
1987,deerro01,Deer,Rob,ML4,AL,0.238,0.36,0.456,3,451,0.268,0.337,0.425,0.218,0.325,0.466,134,29
1990,deerro01,Deer,Rob,ML4,AL,0.209,0.313,0.432,6,451,0.263,0.33,0.394,0.229,0.329,0.449,134,32
1991,deerro01,Deer,Rob,DET,AL,0.179,0.314,0.386,7,451,0.26,0.329,0.394,0.225,0.327,0.446,134,33
1964,demetdo01,Demeter,Don,DET,AL,0.256,0.29,0.46,6,398,0.261,0.324,0.396,0.271,0.317,0.469,134,6
1991,fiskca01,Fisk,Carlton,CHA,AL,0.241,0.299,0.413,21,427,0.26,0.329,0.394,0.272,0.344,0.464,134,33
2001,fletcda01,Fletcher,Darrin,TOR,AL,0.226,0.274,0.353,11,355,0.269,0.338,0.437,0.276,0.326,0.435,134,43
1967,floodcu01,Flood,Curt,SLN,NL,0.335,0.378,0.414,9,535,0.251,0.317,0.373,0.291,0.341,0.395,134,9
1972,fossera01,Fosse,Ray,CLE,AL,0.241,0.312,0.354,4,320,0.253,0.321,0.37,0.274,0.328,0.406,134,14
1972,garrra01,Garr,Ralph,ATL,NL,0.325,0.359,0.43,3,490,0.253,0.321,0.37,0.33,0.361,0.417,134,14
1977,garrra01,Garr,Ralph,CHA,AL,0.3,0.333,0.435,8,490,0.268,0.334,0.409,0.315,0.346,0.423,134,19
2004,gerutjo01,Gerut,Jody,CLE,AL,0.252,0.334,0.405,2,535,0.272,0.342,0.439,0.279,0.336,0.494,134,46
2003,gilesbr02,Giles,Brian,PIT->SDN,NL->NL,0.299,0.427,0.514,8,554,0.269,0.339,0.432,0.302,0.416,0.57,134,45
2002,guillca01,Guillen,Carlos,SEA,AL,0.261,0.326,0.394,4,408,0.266,0.337,0.426,0.259,0.329,0.372,134,44
1991,gwynnto01,Gwynn,Tony,SDN,NL,0.317,0.355,0.432,10,509,0.26,0.329,0.394,0.329,0.385,0.435,134,33
1969,halleto01,Haller,Tom,LAN,NL,0.263,0.337,0.357,9,374,0.258,0.332,0.387,0.254,0.34,0.424,134,11
1983,hargrmi01,Hargrove,Mike,CLE,AL,0.286,0.388,0.367,10,554,0.266,0.33,0.398,0.293,0.401,0.401,134,25
1966,harreke01,Harrelson,Ken,KC1->WS2,AL->AL,0.237,0.317,0.348,4,372,0.257,0.32,0.392,0.229,0.311,0.403,134,8
1991,henderi01,Henderson,Rickey,OAK,AL,0.268,0.4,0.423,13,533,0.26,0.329,0.394,0.293,0.403,0.441,134,33
2003,hillesh02,Hillenbrand,Shea,BOS->ARI,AL->NL,0.28,0.314,0.468,3,582,0.269,0.339,0.432,0.28,0.313,0.43,134,45
1964,howarfr01,Howard,Frank,LAN,NL,0.226,0.303,0.432,5,523,0.261,0.324,0.396,0.281,0.334,0.514,134,6
1977,iviemi01,Ivie,Mike,SDN,NL,0.272,0.326,0.395,4,295,0.268,0.334,0.409,0.268,0.316,0.384,134,19
1976,jacksre01,Jackson,Reggie,BAL,AL,0.277,0.351,0.502,10,543,0.26,0.325,0.369,0.265,0.359,0.503,134,18
1970,jonescl01,Jones,Cleon,NYN,NL,0.277,0.352,0.417,6,392,0.264,0.337,0.404,0.284,0.337,0.403,134,12
2001,kaplega01,Kapler,Gabe,TEX,AL,0.267,0.348,0.437,3,404,0.269,0.338,0.437,0.272,0.335,0.455,134,43
1962,kaskoed01,Kasko,Eddie,CIN,NL,0.278,0.326,0.356,4,382,0.268,0.337,0.412,0.282,0.332,0.355,134,4
1979,kempst01,Kemp,Steve,DET,AL,0.318,0.398,0.543,3,427,0.27,0.335,0.406,0.267,0.362,0.41,134,21
1964,kingji01,King,Jim,WS2,AL,0.241,0.335,0.412,4,363,0.261,0.324,0.396,0.245,0.333,0.427,134,6
1984,landrke01,Landreaux,Ken,LAN,NL,0.251,0.295,0.374,8,406,0.265,0.328,0.393,0.276,0.326,0.413,134,26
1970,lanieha01,Lanier,Hal,SFN,NL,0.231,0.265,0.279,7,386,0.264,0.337,0.404,0.228,0.252,0.276,134,12
1990,lansfca01,Lansford,Carney,OAK,AL,0.268,0.333,0.32,13,523,0.263,0.33,0.394,0.294,0.346,0.422,134,32
1990,leonaje01,Leonard,Jeffrey,SEA,AL,0.251,0.305,0.356,12,456,0.263,0.33,0.394,0.268,0.313,0.416,134,32
1977,lopesda01,Lopes,Davey,LAN,NL,0.283,0.372,0.406,5,484,0.268,0.334,0.409,0.261,0.349,0.359,134,19
1984,marshmi02,Marshall,Mike,LAN,NL,0.257,0.315,0.438,3,391,0.265,0.328,0.393,0.274,0.342,0.429,134,26
1966,matheed01,Mathews,Eddie,ATL,NL,0.25,0.341,0.42,8,563,0.257,0.32,0.392,0.273,0.38,0.504,134,8
1993,mattido01,Mattingly,Don,NYA,AL,0.291,0.364,0.445,11,593,0.27,0.338,0.413,0.311,0.356,0.483,134,35
1960,maxwech01,Maxwell,Charlie,DET,AL,0.237,0.325,0.44,2,299,0.265,0.335,0.407,0.251,0.357,0.461,134,2
1999,mcraebr01,McRae,Brian,NYN->COL->TOR,NL->NL->AL,0.218,0.327,0.36,10,569,0.277,0.351,0.445,0.265,0.331,0.399,134,41
1997,mearepa01,Meares,Pat,MIN,AL,0.276,0.323,0.41,5,392,0.272,0.342,0.428,0.264,0.296,0.377,134,39
1992,merceor01,Merced,Orlando,PIT,NL,0.247,0.332,0.385,2,377,0.261,0.328,0.386,0.271,0.367,0.391,134,34
1970,michage01,Michael,Gene,NYA,AL,0.214,0.292,0.255,4,341,0.264,0.337,0.404,0.236,0.29,0.304,134,12
1961,moonwa01,Moon,Wally,LAN,NL,0.328,0.434,0.505,3,376,0.268,0.34,0.418,0.3,0.389,0.475,134,3
1993,nixonot01,Nixon,Otis,ATL,NL,0.269,0.351,0.315,10,358,0.27,0.338,0.413,0.257,0.326,0.303,134,35
2003,nixontr01,Nixon,Trot,BOS,AL,0.306,0.396,0.578,5,482,0.269,0.339,0.432,0.271,0.359,0.476,134,45
1972,northji01,Northrup,Jim,DET,AL,0.261,0.324,0.362,8,473,0.253,0.321,0.37,0.266,0.333,0.442,134,14
1964,powelbo01,Powell,Boog,BAL,AL,0.29,0.399,0.606,3,486,0.261,0.324,0.396,0.252,0.317,0.433,134,6
1986,ramirra01,Ramirez,Rafael,ATL,NL,0.24,0.273,0.335,7,447,0.262,0.331,0.404,0.267,0.302,0.347,134,28
1978,randowi01,Randolph,Willie,NYA,AL,0.279,0.381,0.357,4,520,0.262,0.329,0.387,0.265,0.345,0.35,134,20
1989,rayjo01,Ray,Johnny,CAL,AL,0.289,0.327,0.358,9,561,0.259,0.325,0.384,0.291,0.336,0.397,134,31
1964,rosebjo01,Roseboro,Johnny,LAN,NL,0.287,0.357,0.372,6,415,0.261,0.324,0.396,0.237,0.324,0.387,134,6
1983,salazlu01,Salazar,Luis,SDN,NL,0.258,0.285,0.387,4,332,0.266,0.33,0.398,0.279,0.31,0.38,134,25
1987,schofdi02,Schofield,Dick,CAL,AL,0.251,0.305,0.355,5,344,0.268,0.337,0.425,0.221,0.293,0.336,134,29
1986,smithlo01,Smith,Lonnie,KCA,AL,0.287,0.357,0.411,7,395,0.262,0.331,0.404,0.291,0.366,0.405,134,28
1967,stargwi01,Stargell,Willie,PIT,NL,0.271,0.365,0.465,5,451,0.251,0.317,0.373,0.28,0.331,0.51,134,9
1989,strawda01,Strawberry,Darryl,NYN,NL,0.225,0.312,0.466,7,372,0.259,0.325,0.384,0.266,0.366,0.529,134,31
1986,wallati01,Wallach,Tim,MON,NL,0.233,0.308,0.396,6,556,0.262,0.331,0.404,0.258,0.315,0.43,134,28
1976,washicl01,Washington,Claudell,OAK,AL,0.257,0.302,0.353,3,432,0.26,0.325,0.369,0.302,0.34,0.411,134,18
1983,washicl01,Washington,Claudell,ATL,NL,0.278,0.322,0.413,10,432,0.266,0.33,0.398,0.279,0.321,0.413,134,25
2004,wellsve01,Wells,Vernon,TOR,AL,0.272,0.337,0.472,6,361,0.272,0.342,0.439,0.296,0.332,0.491,134,46
1999,whitede03,White,Devon,LAN,NL,0.268,0.337,0.407,14,501,0.277,0.351,0.445,0.262,0.317,0.418,134,41
1963,willsma01,Wills,Maury,LAN,NL,0.302,0.355,0.349,5,585,0.255,0.319,0.389,0.288,0.34,0.344,134,5
2002,alfoned01,Alfonzo,Edgardo,NYN,NL,0.308,0.391,0.459,8,558,0.266,0.337,0.426,0.289,0.363,0.443,135,44
1965,allisbo01,Allison,Bob,MIN,AL,0.233,0.342,0.445,7,488,0.255,0.322,0.389,0.263,0.369,0.49,135,7
1963,altmage01,Altman,George,SLN,NL,0.274,0.339,0.401,5,378,0.255,0.319,0.389,0.287,0.351,0.485,135,5
1995,baergca01,Baerga,Carlos,CLE,AL,0.314,0.355,0.452,6,438,0.272,0.344,0.427,0.303,0.342,0.454,135,37
1990,baineha01,Baines,Harold,TEX->OAK,AL->AL,0.284,0.378,0.441,11,504,0.263,0.33,0.394,0.288,0.341,0.462,135,32
2001,bellda01,Bell,David,SEA,AL,0.26,0.303,0.415,7,417,0.269,0.338,0.437,0.254,0.31,0.392,135,43
1976,benchjo01,Bench,Johnny,CIN,NL,0.234,0.348,0.394,10,509,0.26,0.325,0.369,0.271,0.342,0.487,135,18
2000,brosisc01,Brosius,Scott,NYA,AL,0.23,0.299,0.374,10,393,0.276,0.351,0.448,0.257,0.324,0.426,135,42
1984,bucknbi01,Buckner,Bill,CHN->BOS,NL->AL,0.272,0.313,0.392,15,476,0.265,0.328,0.393,0.296,0.327,0.415,135,26
1992,caminke01,Caminiti,Ken,HOU,NL,0.294,0.35,0.441,6,474,0.261,0.328,0.386,0.247,0.304,0.348,135,34
1969,campabe01,Campaneris,Bert,OAK,AL,0.26,0.302,0.305,6,496,0.258,0.332,0.387,0.264,0.314,0.364,135,11
1978,chalkda01,Chalk,Dave,CAL,AL,0.253,0.318,0.285,6,363,0.262,0.329,0.387,0.255,0.329,0.318,135,20
1983,clarkja01,Clark,Jack,SFN,NL,0.268,0.361,0.441,8,483,0.266,0.33,0.398,0.276,0.354,0.479,135,25
2001,claytro01,Clayton,Royce,CHA,AL,0.263,0.315,0.393,10,522,0.269,0.338,0.437,0.258,0.312,0.37,135,43
1998,cruzde01,Cruz,Deivi,DET,AL,0.26,0.284,0.355,2,505,0.271,0.341,0.43,0.241,0.263,0.314,135,40
1986,davisal01,Davis,Alvin,SEA,AL,0.271,0.373,0.426,3,556,0.262,0.331,0.404,0.286,0.386,0.469,135,28
1988,daviser01,Davis,Eric,CIN,NL,0.273,0.363,0.489,5,361,0.259,0.324,0.387,0.273,0.369,0.542,135,30
1988,deerro01,Deer,Rob,ML4,AL,0.252,0.328,0.441,4,451,0.259,0.324,0.387,0.226,0.34,0.462,135,30
1992,deshide01,DeShields,Delino,MON,NL,0.292,0.359,0.398,3,507,0.261,0.328,0.386,0.262,0.36,0.361,135,34
1988,downibr01,Downing,Brian,CAL,AL,0.242,0.362,0.442,16,462,0.259,0.324,0.387,0.266,0.37,0.42,135,30
2004,encarju01,Encarnacion,Juan,FLO->LAN,NL->NL,0.236,0.299,0.405,7,515,0.272,0.342,0.439,0.27,0.313,0.445,135,46
1973,fiskca01,Fisk,Carlton,BOS,AL,0.246,0.309,0.441,3,427,0.262,0.331,0.387,0.292,0.363,0.531,135,15
1987,fiskca01,Fisk,Carlton,CHA,AL,0.256,0.321,0.46,17,427,0.268,0.337,0.425,0.271,0.342,0.462,135,29
1976,fuentti01,Fuentes,Tito,SDN,NL,0.263,0.287,0.31,11,457,0.26,0.325,0.369,0.264,0.304,0.346,135,18
1999,garcino01,Garciaparra,Nomar,BOS,AL,0.357,0.418,0.603,4,503,0.277,0.351,0.445,0.309,0.346,0.552,135,41
1986,gedmari01,Gedman,Rich,BOS,AL,0.258,0.315,0.424,6,287,0.262,0.331,0.404,0.278,0.325,0.45,135,28
1997,greensh01,Green,Shawn,TOR,AL,0.287,0.34,0.469,3,623,0.272,0.342,0.428,0.274,0.324,0.46,135,39
2001,grissma02,Grissom,Marquis,LAN,NL,0.221,0.25,0.404,13,549,0.269,0.338,0.437,0.273,0.323,0.404,135,43
1989,grubeke01,Gruber,Kelly,TOR,AL,0.29,0.328,0.448,4,428,0.259,0.325,0.384,0.25,0.296,0.408,135,31
1995,gwynnto01,Gwynn,Tony,SDN,NL,0.368,0.404,0.484,14,509,0.272,0.344,0.427,0.333,0.387,0.446,135,37
1993,hamilda02,Hamilton,Darryl,ML4,AL,0.31,0.367,0.406,5,394,0.27,0.338,0.413,0.292,0.347,0.374,135,35
1989,hatchbi01,Hatcher,Billy,HOU->PIT,NL->NL,0.231,0.277,0.308,5,427,0.259,0.325,0.384,0.272,0.323,0.38,135,31
1982,herrto01,Herr,Tom,SLN,NL,0.266,0.341,0.32,3,504,0.266,0.329,0.397,0.26,0.319,0.344,135,24
1963,hershmi01,Hershberger,Mike,CHA,AL,0.279,0.338,0.361,3,359,0.255,0.319,0.389,0.268,0.325,0.336,135,5
1963,howarel01,Howard,Elston,NYA,AL,0.287,0.342,0.528,5,442,0.255,0.319,0.389,0.289,0.329,0.471,135,5
2004,hudsoor01,Hudson,Orlando,TOR,AL,0.27,0.341,0.438,3,425,0.272,0.342,0.439,0.27,0.326,0.408,135,46
1989,jacksbo01,Jackson,Bo,KCA,AL,0.256,0.31,0.495,4,328,0.259,0.325,0.384,0.238,0.291,0.451,135,31
1972,jacksre01,Jackson,Reggie,OAK,AL,0.265,0.35,0.473,6,543,0.253,0.321,0.37,0.257,0.356,0.498,135,14
1998,javiest01,Javier,Stan,SFN,NL,0.29,0.385,0.374,13,356,0.271,0.341,0.43,0.263,0.337,0.356,135,40
2000,jenkige01,Jenkins,Geoff,MIL,NL,0.303,0.36,0.588,3,470,0.276,0.351,0.448,0.282,0.341,0.498,135,42
1999,johnsch04,Johnson,Charles,BAL,AL,0.251,0.34,0.413,5,431,0.277,0.351,0.445,0.234,0.319,0.403,135,41
1997,joynewa01,Joyner,Wally,SDN,NL,0.327,0.39,0.486,12,506,0.272,0.342,0.428,0.289,0.361,0.444,135,39
1980,kempst01,Kemp,Steve,DET,AL,0.293,0.376,0.474,4,427,0.269,0.332,0.396,0.283,0.373,0.45,135,22
1976,lefloro01,LeFlore,Ron,DET,AL,0.316,0.376,0.41,3,540,0.26,0.325,0.369,0.259,0.302,0.34,135,18
1999,lewisda01,Lewis,Darren,BOS,AL,0.24,0.311,0.309,9,379,0.277,0.351,0.445,0.251,0.327,0.323,135,41
1992,lindjo01,Lind,Jose,PIT,NL,0.235,0.275,0.269,6,437,0.261,0.328,0.386,0.259,0.303,0.329,135,34
1974,maddoga01,Maddox,Garry,SFN,NL,0.284,0.322,0.398,3,450,0.261,0.329,0.377,0.296,0.325,0.448,135,16
1985,marshmi02,Marshall,Mike,LAN,NL,0.293,0.342,0.515,4,391,0.262,0.329,0.4,0.266,0.33,0.433,135,27
2000,martial03,Martin,Al,SDN->SEA,NL->AL,0.285,0.338,0.452,8,468,0.276,0.351,0.448,0.28,0.342,0.455,135,42
1992,martied01,Martinez,Edgar,SEA,AL,0.343,0.404,0.544,5,510,0.261,0.328,0.386,0.298,0.389,0.428,135,34
1974,mayda01,May,Dave,ML4,AL,0.226,0.273,0.325,8,338,0.261,0.329,0.377,0.26,0.327,0.388,135,16
1967,mccovwi01,McCovey,Willie,SFN,NL,0.276,0.378,0.535,9,440,0.251,0.317,0.373,0.276,0.367,0.536,135,9
1997,molitpa01,Molitor,Paul,MIN,AL,0.305,0.351,0.435,20,575,0.272,0.342,0.428,0.308,0.372,0.452,135,39
1989,mosebll01,Moseby,Lloyd,TOR,AL,0.221,0.306,0.349,10,545,0.259,0.325,0.384,0.261,0.335,0.423,135,31
1987,oberkke01,Oberkfell,Ken,ATL,NL,0.28,0.342,0.362,10,366,0.268,0.337,0.425,0.283,0.361,0.371,135,29
1968,parkewe01,Parker,Wes,LAN,NL,0.239,0.312,0.314,5,528,0.246,0.31,0.356,0.247,0.342,0.359,135,10
1973,patekfr01,Patek,Freddie,KCA,AL,0.234,0.311,0.321,6,438,0.262,0.331,0.387,0.243,0.308,0.321,135,15
2002,piazzmi01,Piazza,Mike,NYN,NL,0.28,0.359,0.544,11,503,0.266,0.337,0.426,0.325,0.391,0.579,135,44
1962,piersji01,Piersall,Jim,WS2,AL,0.244,0.301,0.329,4,303,0.268,0.337,0.412,0.288,0.335,0.413,135,4
1971,raderdo02,Rader,Doug,HOU,NL,0.244,0.303,0.378,5,528,0.259,0.328,0.382,0.261,0.328,0.405,135,13
2000,reesepo01,Reese,Pokey,CIN,NL,0.255,0.319,0.386,4,388,0.276,0.351,0.448,0.258,0.312,0.36,135,42
1988,riceji01,Rice,Jim,BOS,AL,0.264,0.33,0.406,15,566,0.259,0.324,0.387,0.302,0.355,0.513,135,30
2000,riverru01,Rivera,Ruben,SDN,NL,0.208,0.296,0.4,5,227,0.276,0.351,0.448,0.211,0.314,0.4,135,42
2004,rodriiv01,Rodriguez,Ivan,DET,AL,0.334,0.383,0.51,14,514,0.272,0.342,0.439,0.304,0.344,0.488,135,46
1962,romanjo01,Romano,Johnny,CLE,AL,0.261,0.363,0.479,4,359,0.268,0.337,0.412,0.289,0.372,0.478,135,4
1997,sandbry01,Sandberg,Ryne,CHN,NL,0.264,0.308,0.403,15,617,0.272,0.342,0.428,0.286,0.346,0.454,135,39
2004,sandere02,Sanders,Reggie,SLN,NL,0.26,0.315,0.482,13,481,0.272,0.342,0.439,0.268,0.347,0.488,135,46
1990,sciosmi01,Scioscia,Mike,LAN,NL,0.264,0.348,0.405,11,385,0.263,0.33,0.394,0.261,0.348,0.354,135,32
1997,sheffga01,Sheffield,Gary,FLO,NL,0.25,0.424,0.446,10,512,0.272,0.342,0.428,0.291,0.38,0.501,135,39
2002,sheffga01,Sheffield,Gary,ATL,NL,0.307,0.404,0.512,15,512,0.266,0.337,0.426,0.295,0.399,0.521,135,44
1965,smithch04,Smith,Charley,NYN,NL,0.244,0.273,0.393,6,265,0.255,0.322,0.389,0.234,0.274,0.366,135,7
1990,smithlo01,Smith,Lonnie,ATL,NL,0.305,0.384,0.459,11,395,0.263,0.33,0.394,0.29,0.369,0.418,135,32
1975,smithre06,Smith,Reggie,SLN,NL,0.302,0.382,0.488,9,503,0.262,0.333,0.383,0.285,0.359,0.478,135,17
1964,spangal01,Spangler,Al,HOU,NL,0.245,0.311,0.334,5,216,0.261,0.324,0.396,0.282,0.378,0.377,135,6
1990,surhobj01,Surhoff,B.J.,ML4,AL,0.276,0.331,0.376,4,484,0.263,0.33,0.394,0.262,0.308,0.356,135,32
