County,LandArea,PctRural,MedianIncome,Population,PctUnder18,PctOver65,PctPoverty,PctUninsured,PctSomeCollege,PctUnemployed,Physicians
Lamar,1486.7,47.1,41009,49523,23.7,18.4,21.7,24,55.9,6.1,23
Val Verde,3144.8,10.2,41437,48974,28.9,13.8,22.1,30,48.4,5.7,15
Navarro,1009.6,52.7,43091,48195,26.2,16.2,21.1,24,46.9,5.2,25
Medina,1325.4,61.6,53440,47894,23.9,15.5,17.7,28,53,4.8,12
Atascosa,1219.5,60.7,52785,47774,27.9,13.9,16.4,25,45.9,4.9,10
Waller,513.4,61.6,50589,46820,24,11.5,20.4,35,43.5,5,4
Wilson,803.7,85.9,62752,46402,24.8,14.9,11.5,22,58.3,4.1,17
Polk,1057.1,77.6,41401,46079,20.5,19.9,20.2,31,41.5,6.4,24
Burnet,994.3,55.7,53203,44943,21.6,21.1,16.3,31,48.2,4.2,20
Wood,645.2,74.2,42753,42852,19.7,26.5,14.6,26,47.3,5.9,21
Jim Wells,865,40.1,46200,41353,28.2,14.1,21.7,25,45.6,5.2,15
Wharton,1086.2,49.9,44110,41168,25.9,15.8,18.8,26,46.8,4.7,19
Upshur,583,79.3,46346,40354,24,17.1,15.8,24,53.9,5.1,12
Erath,1083.1,46.3,41914,40147,20.8,13.7,22.3,29,57.8,4.2,24
Caldwell,545.3,42.3,47227,39810,24.2,13.3,18.7,30,45.6,5.1,13
Kendall,662.5,58.2,77764,38880,23.4,19.1,9.3,18,67.4,4,27
Cooke,874.8,59,57378,38761,24.2,17.4,14.8,26,51.7,3.8,10
Chambers,597.1,45.7,77281,38145,27.7,10.8,9.7,26,56.9,5.7,4
Brown,944.4,40.4,41316,37653,22.9,19.3,18.4,23,46.9,5.1,21
Howard,900.8,20.1,47299,36651,21.9,12.3,15.3,34,45.6,4.4,11
Matagorda,1037.1,36.4,41587,36519,25.5,15.8,22,20,41.7,7.8,12
Hopkins,767.2,59.6,44076,35921,25.2,17.2,19.3,25,48.8,4.7,12
Jasper,938.9,78.2,41017,35552,24.3,18.2,17.8,28,43.8,8.1,17
Hill,958.9,76.3,41521,34848,23.9,20.1,17,21,49.1,5.3,13
Hale,1004.7,23.1,40213,34720,27.7,13,22.3,20,43.1,9.4,13
Washington,604,53.5,55139,34438,21.6,19.8,14.9,31,52.3,4.5,23
Fannin,890.8,70.5,43211,33752,21,18.8,17.2,25,49.6,5.4,8
Bee,880.2,43,40680,32863,21.3,11.4,22.2,23,41.3,5.7,7
Titus,406.1,50.6,40680,32506,29.2,13.2,22,24,42.9,6.3,18
Kleberg,881.3,18.9,40884,32190,24.5,12.4,24.5,27,63,5.4,15
Cass,937,74,39256,30261,22.5,21.2,20.9,21,45.8,7.6,9
Austin,646.5,66.3,58792,29114,24.2,17.6,10.1,26,58.2,4.7,6
Palo Pinto,951.8,50.2,40862,28096,24.2,18.2,18.5,37,44.3,5.1,13
Grimes,787.5,68.9,44795,27172,22,16,19.1,28,39.2,4.8,8
Uvalde,1552,31.4,37933,27117,27.8,16,26.5,28,53.8,5.7,12
San Jacinto,569.2,100,43087,27099,22.4,20,20.1,26,39.1,5.8,3
Gillespie,1058.2,53.7,52814,25520,19.4,28.5,12,19,60.2,3.6,33
Shelby,795.6,79.4,35772,25515,26.4,16.1,22.1,27,43.9,5.8,8
Aransas,252.1,27.3,44551,24972,18.6,26.6,19.6,22,51.4,5.5,8
Fayette,950,67.1,49830,24833,20.9,23.8,11.6,24,43.9,3.4,12
Milam,1016.9,56.2,41849,24256,24.8,19.4,19.2,24,48.8,6.2,6
Panola,801.8,72.7,48822,23769,24.2,16.9,12.7,21,52.3,4.8,8
Hockley,908.4,39.8,50124,23577,26.9,13.5,15.7,25,54.8,3.9,11
Limestone,905.3,53.6,37256,23524,23.1,17.5,21.5,26,40.2,5.8,10
Gray,926,19.4,49012,23044,25.7,15.3,14.6,38,50.7,4.1,8
Houston,1230.9,73.5,33698,22741,19.7,20.6,19.7,27,43.3,5.2,6
Moore,899.7,16.8,42839,22148,31.3,10.2,15.4,24,42.5,3.5,7
Willacy,590.6,34.6,29782,21903,25.3,12.6,40,23,34.1,12.3,7
Calhoun,506.8,44.7,46705,21797,25.2,16,17.6,28,53.9,4.8,12
Hutchinson,887.4,22.6,51508,21773,26.4,14.7,15.8,27,57.7,4.4,7
Tyler,924.5,78.1,40442,21418,19.4,20.6,17.4,21,44.7,8,5
Bandera,791,100,50107,20892,17.4,24.6,15.3,37,56.8,4.7,5
Colorado,960.3,62.6,46484,20719,22.9,20.7,16.6,26,47.3,4.4,15
De Witt,909,49.6,45717,20684,22.1,19.4,13.5,23,45.4,3.8,9
Gonzales,1066.7,65.3,42291,20462,26.5,16.1,21.9,21,42.2,3.9,8
Lampasas,1016.2,68.3,50699,20156,23.4,18,22.1,28,61.1,5.6,10
Jones,928.6,85.1,41079,19936,17.8,14.4,18.5,22,29.6,5.4,7
Freestone,877.7,66.5,46526,19762,23.1,18.2,15.6,23,48.7,5.7,6
Lavaca,969.7,81.3,47041,19721,23.6,21.9,8.3,33,53.5,3.9,12
Llano,934,45.2,45096,19510,15.5,33.9,14.1,24,53.2,5.2,18
Gaines,1502.4,63,50709,19425,35.1,9.3,16.8,27,32,3.2,3
Montague,930.9,58.9,48996,19416,23,21.5,15.6,22,50,3.9,5
Deaf Smith,1496.9,17.7,41499,19195,31.9,11.9,18.9,24,41.3,3.6,6
Frio,1133.5,22.2,34206,18531,24.4,11.6,24,26,32.9,3.5,3
Young,914.5,33.6,41872,18350,24,19.4,16,19,45.4,4.1,11
Eastland,926.5,60.3,36591,18176,21.4,21.1,19,23,37.3,4.8,7
Bosque,983,81.2,44397,17780,21.8,23.9,14.7,21,51.7,5.2,7
Andrews,1500.7,16.5,66878,17477,30.6,9.9,12.5,21,42.8,2.9,8
Scurry,905.4,31.7,56444,17328,25.5,13.7,15.7,27,52.4,3.3,9
Burleson,659,76.7,48140,17253,22.7,19.2,15,26,39.8,4.7,6
Falls,765.5,67.4,35491,16989,21.2,17.3,20.9,32,39.7,5.6,2
Leon,1073.2,100,45159,16861,22.3,23.4,17.7,18,52.6,5.3,1
Lee,629,69.7,52895,16742,22.6,17.7,12.4,26,47.3,4,5
Robertson,855.7,73.9,43194,16500,24.4,18.5,20.7,25,41.4,5.2,2
Pecos,4763.9,39.8,44817,15893,24.5,12.4,16.7,31,34.2,4.2,8
Nolan,912,32.7,38742,15093,25.8,16.9,18.5,25,53.4,4.3,6
Karnes,747.6,38.4,43986,14906,21.2,14.5,23.3,30,38.8,3.8,3
Jackson,829.4,61.8,52185,14739,26.1,16.7,12.7,26,55.8,3.9,1
Reeves,2635.4,14.5,39006,14349,22.5,12,21.9,26,40.6,4.1,4
Zapata,998.4,23.5,33291,14319,33.4,11.6,34.7,23,37.7,5.2,1
Trinity,693.6,77.2,36645,14224,19.6,25.3,16.1,26,37.6,6,3
Newton,933.7,100,39135,14138,21.7,17.7,16.1,29,41.3,8.2,1
Madison,928.8,67.4,39030,13861,21.5,14.7,13.6,26,35.6,4.9,3
Lamb,907.2,57.7,37111,13574,28.3,16.3,19.1,24,45,5.7,5
Comanche,937.8,71.5,38280,13550,23.1,22.9,26.4,30,51.3,4.8,7
Callahan,899.4,72.2,40796,13513,22.2,20.1,15.2,22,56.1,4.4,2
Dawson,900.3,16.3,41876,13372,25,14.7,21.9,25,37.7,5,4
Wilbarger,970.8,21.9,39377,12973,23.6,16.9,20.7,17,53.6,4.9,5
Morris,252,78.4,37954,12743,22.9,21,20.6,23,53.6,7.7,2
Terry,888.8,24.7,38752,12739,26.9,14.6,14,26,43.1,4.4,4
Camp,195.8,61.5,37801,12621,26.1,17.3,21.8,27,37.6,6,7
Red River,1036.6,75.7,34340,12446,20.2,22.8,16.1,23,43,7.8,2
Zavala,1297.4,38,26336,12267,30.6,12.5,35,18,47.2,12.4,3
Live Oak,1039.7,100,51481,12091,20,19.8,17.1,28,49.7,3.5,0
Ward,835.6,27.9,53244,11625,28,14.1,20.4,25,45.4,3.5,3
Duval,1793.5,67,35069,11533,25.7,17.2,19.7,25,40.9,5.5,0
Dimmit,1328.9,39.5,36856,11089,30.4,14.3,26.5,39,58.1,3.8,5
Rains,229.5,93.2,47834,11032,20.2,23.6,13.6,26,49.7,4.9,2
Blanco,709.3,100,57177,10812,19.2,22.4,9.3,34,58,3.7,4
Ochiltree,917.6,13.9,61773,10758,31.5,10.3,17.3,24,40.2,3,4
Franklin,284.4,69.1,42099,10600,24.2,20.3,14.4,35,51.1,5.1,4
Runnels,1051,40.8,38607,10416,24,20.6,21.9,22,36.6,4.1,6
Clay,1088.7,74.6,50993,10370,21.6,20.3,10.3,25,56.6,4.6,3
Sabine,491.4,100,35701,10350,18.6,28.6,25.8,34,38.5,10.5,3
Marion,1100.3,100,34452,10149,18.4,23.6,21.1,24,54.8,6.3,1
Parmer,880.8,60,41813,9908,29.1,12.7,21.3,25,38.9,3.1,2
Stephens,896.7,39.4,44110,9405,22.3,19.1,18.8,21,40.4,4.3,4
Brewster,6183.7,34.9,40179,9173,19.6,19.4,12.4,29,73.1,4.7,7
Mitchell,911.1,36.7,41363,9076,20,13.8,11.7,25,47.1,4.5,3
Jack,910.7,53.2,52030,8855,21.7,16.3,16.7,31,36.9,3.8,5
Archer,903.1,89,58867,8811,21.7,18.1,11.3,27,58.8,4.5,1
Somervell,186.5,100,51733,8694,23.5,18.1,9.3,27,54.5,5,8
San Augustine,530.7,100,32826,8610,20.4,25.3,26.4,22,37.9,9.6,2
Coleman,1262,51.5,37497,8430,21.9,23.4,27.6,23,52.2,6,4
Yoakum,799.7,37.3,60738,8286,32.3,11.9,11.7,23,51.5,3,2
McCulloch,466.1,35.3,39649,8199,23.4,21.7,25.2,30,43.4,4.3,4
Hamilton,835.9,64.4,41207,8199,20.8,25.8,12.6,21,52.5,4.6,9
Winkler,841.1,18.1,55493,7821,30.4,10.9,12.8,19,46.5,4.2,3
Castro,894.4,45.8,42966,7781,30.4,14,24.1,29,27.4,4,1
Swisher,890.2,37.6,37527,7581,25.4,18.1,23.1,22,37.7,6.2,1
Goliad,852,100,49369,7549,21.7,20.3,14.7,20,60.7,4.1,1
La Salle,712.8,46.4,38012,7474,20.7,13.2,16.9,32,34.8,3.1,1
Refugio,770.4,60.7,43654,7302,23.1,20.7,16.2,26,48.3,4.3,1
Brooks,943.4,31.8,27875,7194,28.1,18.2,38.3,27,31.1,7.6,1
Dallam,1503.3,23.5,43523,7135,32,8.7,18.1,27,50.2,3,5
Childress,696.4,33.1,39025,7089,20.9,15.3,15.9,34,48.9,3.7,8
Presidio,3855.2,40.5,34258,6976,26,21,24.8,28,47.9,11.6,3
Bailey,826.8,28.8,36821,6910,30.3,15,13,17,37.8,5.1,5
Garza,893.4,22.3,49947,6435,18.4,11.4,15.5,29,26.8,3.5,1
Hartley,1462,57.3,64182,6089,21.1,14.6,8.6,31,37.5,2.6,0
Carson,920.2,95.2,58425,6013,25.2,17.1,7.2,27,63.4,3.3,1
Floyd,992.1,53.3,36898,5949,27.2,18.7,20.3,25,56.6,7,4
Crosby,900.2,100,36627,5899,26.8,18.9,26.5,22,41.7,4.6,2
Lynn,891.9,56.7,41589,5771,27.3,15.8,20.2,16,50.8,4.3,4
Haskell,903.1,47.6,35607,5769,20.1,21.7,18.9,28,46.9,4,2
Wheeler,914.5,100,52548,5714,26.4,17.2,14.3,18,54.4,3.5,3
San Saba,1135.3,49.4,38000,5622,20.8,22.8,15.2,27,49,4.6,2
Hansford,919.8,40.3,50698,5509,29,14.5,17,25,46.3,2.6,2
Martin,1279.3,100,61896,5460,30.2,12.2,30.5,24,40.4,3.4,1
Jim Hogg,1136.1,17.4,36929,5255,30,15.8,14,26,53.2,5.8,1
Delta,256.8,100,38304,5238,22,22,17.9,27,53.6,6,1
Crane,785.1,10.7,61098,4950,30,11.3,13.8,22,40.8,3.9,1
Mills,748.3,100,38564,4870,22.4,25.2,13.1,33,64.8,4.4,1
Kimble,1251,44.3,38750,4438,19,26.5,19.5,27,57.5,3.8,3
Hemphill,906.3,27,66505,4180,31.6,12.5,11.7,23,53,2.4,4
Mason,1065.6,100,42820,4071,20.1,27.4,16.6,25,62.5,4.6,1
Concho,983.8,100,40837,4050,12.9,15.7,16.5,29,27.9,3,2
Sutton,1453.9,18.8,60435,3972,25.5,16.1,7.3,34,53.2,3.5,4
Hardeman,695.1,100,36992,3928,23.6,19.8,26.6,25,33.1,5,5
Knox,850.6,100,36929,3858,26.1,20.7,20.8,23,48.6,4.3,2
Fisher,898.9,100,44519,3831,20.7,23.1,17.1,35,60.7,4.6,2
Crockett,2807.3,22.7,49614,3812,25.6,15.1,16.7,28,45.9,3.8,1
Reagan,1175.3,13.3,62376,3755,30.3,10.3,9.5,20,28.2,3.1,2
Baylor,867.5,100,36027,3592,21.3,25.1,15.4,28,64.4,4.3,4
Lipscomb,932.2,100,60810,3553,26.7,14.4,10.9,26,45.6,3.3,0
Donley,926.9,100,37263,3543,19.7,23.3,16.7,28,55.3,4.9,1
Kinney,1360.1,20.5,39335,3526,19.1,25.3,25.7,23,32.8,7.1,0
Upton,1241.3,100,55918,3454,28.5,13.8,17.1,22,45.6,3.2,2
Real,699.2,100,37294,3371,17.3,28.5,20.2,35,70.5,6,0
Shackelford,914.3,100,55130,3343,23.5,18.5,16.1,29,51.5,2.7,1
Coke,911.5,100,41593,3254,19.7,26.9,11,31,67.6,4.2,0
Hudspeth,4571,100,32086,3211,24.5,17.2,44.1,31,22.2,6.1,0
Schleicher,1310.6,100,50361,3162,29.2,15.1,22.8,23,45.4,3,1
Hall,883.5,100,33324,3147,23.6,23.6,23.8,21,45.5,6.3,2
Sherman,923,100,49309,3084,27.8,14,13.7,27,41.8,3.2,0
Collingsworth,918.4,100,38655,3017,28.3,17.5,20.4,24,43.5,4.1,1
Cochran,775.2,100,39870,2935,28.3,14.9,15.1,23,32.9,5.1,1
Culberson,3812.8,100,33637,2266,25.1,16.8,25.2,27,28.5,4.1,1
Dickens,901.7,100,35924,2218,18.9,20.9,18.8,28,52.7,6.3,0
Jeff Davis,2264.6,100,46364,2204,12,29.9,7.4,30,42.8,3.7,1
Menard,902,100,32580,2147,17.6,30.1,23.5,26,55.3,4.7,1
Oldham,1500.5,100,54458,2070,28.1,13.9,14.2,23,77.8,3.7,0
Armstrong,909.1,100,55177,1955,23.4,21.4,11.1,25,76.2,3.2,0
Edwards,2117.9,100,35554,1879,20.2,26,18.4,29,41.8,4.4,0
Throckmorton,912.6,100,43618,1608,21.5,25.3,13.7,23,57.2,3.9,2
Irion,1051.6,100,63054,1574,22.2,18.3,8.7,24,57.2,3.7,0
Briscoe,900,100,42139,1536,21.8,23.9,18.6,35,51.2,4.3,0
Cottle,900.6,100,32722,1415,21.8,24.5,15.4,26,67.8,5.7,0
Stonewall,916.3,100,42780,1403,22.4,25.8,16.6,28,37.6,3.9,0
Sterling,923.5,100,59854,1339,26.7,16.7,15.1,22,65.1,2.7,0
Glasscock,900.2,100,73335,1291,25.9,14.4,4.2,25,48.6,2.7,0
Foard,704.4,100,33442,1275,21.4,24.9,15.4,30,68.5,4.3,0
Motley,989.6,100,37936,1153,19.9,28.4,25.5,17,67.8,4.5,0
Roberts,924.1,100,69424,928,24.7,18.6,3,20,66,3.4,0
Terrell,2358,100,39503,927,20.1,23,10,26,50.2,4.2,0
McMullen,914.9,100,61571,805,20.5,22.9,15.8,23,51.6,1.7,0
Kent,902.5,100,43026,785,21.5,26.9,8.6,27,75.2,3.2,0
Borden,897.4,100,61750,652,21.6,20.6,0.9,28,83,3,0
Kenedy,1458.3,100,38451,400,25.5,15.3,32.8,27,50,2.9,0
King,910.9,100,64203,262,20.6,17.6,5.9,35,37.5,4.3,0
Loving,668.9,100,55819,86,30.2,15.1,12,27,2.7,5,0
